id,care_package_name,care_package_remarks,care_package_price,status_id,created_at,updated_at,care_package_customizable,created_by,last_updated_by
1,GOLD LIFT TREATMENT,Lifts and firms the skin while relieving neck tension. Avoid if you have neck or spine issues.,"1,280.00",1,2024-08-11T20:46:24+08:00,2024-08-11T20:46:24+08:00,true,14,14
2,EYEBROW SHAPING,Defines and enhances your natural brow shape. Not suitable during pregnancy or if you have foot wounds.,500,1,2024-02-22T19:21:07+08:00,2024-02-22T19:21:07+08:00,false,11,11
3,CLASSIC PEDI,Rejuvenating foot care with exfoliation and polish. Avoid if you have recent injuries or skin conditions.,600,1,2024-09-11T20:45:20+08:00,2024-09-11T20:45:20+08:00,true,5,5
4,CLASSIC MANI + CLASSIC PEDI,Complete hand and foot care for hydration and polish. Not suitable for sensitive or eczema-prone skin.,330,1,2024-11-25T19:37:55+08:00,2024-11-25T19:37:55+08:00,true,7,7
5,GEL MANI + GEL PEDI,Long-lasting shine with durable gel polish for hands and feet. Avoid if pregnant or prone to keloids.,500,1,2023-06-14T14:43:29+08:00,2023-06-14T14:43:29+08:00,false,10,10
6,EYEBROW TOUCHUP,Refines semi-permanent brow shape for a polished look. Avoid if you have sensitive skin or allergy to pigments.,83.3,1,2024-04-04T17:24:08+08:00,2024-04-04T17:24:08+08:00,false,6,6
7,FUNGUS TREATMENT,Targets fungal issues for healthier nails and skin. Not suitable if allergic to treatment ingredients or with irritated skin.,350.8,1,2024-01-18T10:42:31+08:00,2024-01-18T10:42:31+08:00,true,11,11
8,REFRESHING FACIAL TREATMENT,Soothing facial that hydrates and revitalizes skin. Avoid if acne-prone or highly sensitive.,468,1,2023-07-25T11:27:41+08:00,2023-07-25T11:27:41+08:00,true,8,8
100,OMEGA NECK TREATMENT,Relieves neck tension while toning skin with advanced technology. Not suitable for individuals with pacemakers or spinal issues.,750,1,2023-10-22T20:39:04+08:00,2023-10-22T20:39:04+08:00,false,14,14
101,NATURAL EYELASH EXTENSION,Adds subtle volume for a natural lash look. Avoid if you have sensitive eyes or lash adhesive allergies.,384,1,2023-10-22T20:39:04+08:00,2023-10-22T20:39:04+08:00,false,11,11
102,EYE ALGAE TREATMENT,Hydrates and soothes the delicate eye area. Not suitable if prone to skin inflammation or allergies.,336,1,2024-02-21T19:32:08+08:00,2024-02-21T19:32:08+08:00,true,5,5
103,RF FACE MACHINE,Radiofrequency facial for firming and lifting. Not suitable if you have a pacemaker or highly sensitive skin.,440,1,2024-01-05T15:23:25+08:00,2024-01-05T15:23:25+08:00,false,7,7
104,REFLEXOLOGY FOOT MASSAGE,Stimulates pressure points to promote overall wellness. Avoid if diabetic or with open foot wounds.,100,1,2023-08-10T18:05:14+08:00,2023-08-10T18:05:14+08:00,false,10,10
105,DESTRESS BODY MASSAGE,Deep relaxation massage to release full-body tension. Not suitable if you have recent injuries or medical conditions.,450,1,2024-04-04T17:24:08+08:00,2024-04-04T17:24:08+08:00,false,6,6
106,KOREA MISTY EYEBROW,"Soft, powdered eyebrow tattooing for a natural finish. Avoid if pregnant or prone to keloid scarring.","1,495.00",1,2024-04-04T17:24:08+08:00,2024-04-04T17:24:08+08:00,true,11,11
107,FACIAL RIBBING,A rejuvenating technique to promote circulation and firm facial skin. Avoid if you have highly sensitive or irritated skin.,"1,056.00",1,2024-04-04T17:24:08+08:00,2024-04-04T17:24:08+08:00,true,8,8
108,CLASSIC MANI,Essential nail grooming and regular polish application. Avoid if you have nail infections or inflammation.,125,1,2024-04-04T17:24:08+08:00,2024-04-04T17:24:08+08:00,true,14,14
109,OPT UNDER ARM,Brightening and hair removal for underarms. Not suitable if pregnant or if skin is sunburned.,364,1,2024-04-04T17:24:08+08:00,2024-04-04T17:24:08+08:00,true,5,5
110,CLASSIC EYELASH (NATURAL LOOK),"Light, individual lashes for a soft, everyday enhancement. Avoid if you have lash glue allergies or sensitive eyes.",580,1,2024-04-04T17:24:08+08:00,2024-04-04T17:24:08+08:00,true,14,14
111,CLASSIC Y EYELASH,"Volumizing Y-shaped lashes for fuller, natural-looking results. Not suitable for sensitive eyes or glue allergies.",588,1,2025-02-02T16:00:00+08:00,2025-02-02T16:00:00+08:00,true,8,8
112,CLASSIC GEL MANI,"Glossy, chip-resistant gel manicure for lasting wear. Avoid if nails are damaged or brittle.",400,1,2022-08-12T16:00:00+08:00,2022-08-12T16:00:00+08:00,true,14,14
113,CLASSIC GEL PEDI,Durable gel pedicure that maintains shine and smoothness. Avoid if you have foot infections or injuries.,325,1,2023-07-25T11:27:41+08:00,2023-07-25T11:27:41+08:00,true,5,5
114,LASH EXTENSION,Customized eyelash extensions to enhance your look. Avoid if you have lash glue sensitivities or eye conditions.,884,1,2023-07-25T11:27:41+08:00,2023-07-25T11:27:41+08:00,true,14,14
