"id","member_id","employee_id","package_name","status","total_price","balance","created_at","updated_at","package_remarks"
"1","9","14","GOLD LIFT TREATMENT PACKAGE","ENABLED","3712.00","3712.00","2025-02-02 09:00:00+00","2025-02-02 09:00:00+00","Premium facial treatment package with 8 sessions and 20% discount"
"2","46","11","EYEBROW RESHAPING PACKAGE","ENABLED","180.00","180.00","2025-03-27 06:32:17+00","2025-03-27 06:32:17+00","Professional eyebrow reshaping package with 15 sessions"
"3","9","5","CLASSIC PEDI PACKAGE","ENABLED","387.60","387.60","2025-04-21 07:18:45+00","2025-04-21 07:18:45+00","Classic pedicure package with 12 sessions and 15% discount"
"4","15","7","CLASSIC GEL MANI PACKAGE","ENABLED","480.00","480.00","2025-01-11 04:49:02+00","2025-01-11 04:49:02+00","Gel manicure package with 10 sessions"
"5","19","10","CLASSIC GEL PEDI PACKAGE","ENABLED","408.00","408.00","2025-02-17 05:25:10+00","2025-02-17 05:25:10+00","Gel pedicure package with 8 sessions and 25% discount"
"6","29","6","EYEBROW TOUCH UP PACKAGE","ENABLED","954.00","954.00","2025-03-03 08:41:36+00","2025-03-03 08:41:36+00","Eyebrow touch-up package with 6 sessions"
"7","28","11","FUNGUS TREATMENT PACKAGE","ENABLED","972.00","972.00","2025-04-01 03:33:58+00","2025-04-01 03:33:58+00","Fungus treatment package with 10 sessions and 10% discount"
"8","4","8","REFRESHING FACIAL TREATMENT PACKAGE","ENABLED","369.60","369.60","2025-02-13 09:05:24+00","2025-02-13 09:05:24+00","Facial treatment package with 6 sessions and 30% discount"
"9","46","14","EYE HOT MASK PACKAGE","ENABLED","360.00","360.00","2025-02-02 09:00:00+00","2025-02-02 09:00:00+00","Eye hot mask package with 8 sessions"
"10","46","11","FACE SOFT MASK PACKAGE","ENABLED","380.00","380.00","2025-03-27 06:32:17+00","2025-03-27 06:32:17+00","Face soft mask package with 10 sessions"
"11","15","5","REJUVENATING TREATMENT PACKAGE","ENABLED","672.00","672.00","2025-04-21 07:18:45+00","2025-04-21 07:18:45+00","Premium rejuvenating treatment with 5 sessions and 20% discount"
"12","19","7","VELLO TREATMENT PACKAGE","ENABLED","714.00","714.00","2025-01-11 04:49:02+00","2025-01-11 04:49:02+00","Specialized Vello treatment with 5 sessions and 15% discount"
"13","29","10","LENITIVE TREATMENT PACKAGE","ENABLED","534.00","534.00","2025-02-17 05:25:10+00","2025-02-17 05:25:10+00","Calming lenitive treatment with 4 sessions and 25% discount"
"14","28","6","VITAMIN & MINERAL TREATMENT PACKAGE","ENABLED","569.60","569.60","2025-03-03 08:41:36+00","2025-03-03 08:41:36+00","Vitamin & mineral treatment with 4 sessions and 20% discount"
"15","4","11","ADVANCE ACNE TREATMENT PACKAGE","ENABLED","347.70","347.70","2025-04-01 03:33:58+00","2025-04-01 03:33:58+00","Advanced acne treatment with 3 sessions and 35% discount"
"16","9","8","PROTEINASE REPAIR TREATMENT PACKAGE","ENABLED","415.80","415.80","2025-02-13 09:05:24+00","2025-02-13 09:05:24+00","Proteinase repair treatment with 3 sessions and 30% discount"
"17","46","14","BIOCELL TREATMENT PACKAGE","ENABLED","447.00","447.00","2025-01-29 04:17:53+00","2025-01-29 04:17:53+00","Premium biocell treatment with 2 sessions and 25% discount"
"18","46","5","OMEGA FIRMING TREATMENT PACKAGE","ENABLED","417.20","417.20","2025-02-02 07:56:11+00","2025-02-02 07:56:11+00","Omega firming treatment with 2 sessions and 30% discount"
"19","9","14","RF FACIAL TREATMENT PACKAGE","ENABLED","676.60","676.60","2025-02-02 07:56:11+00","2025-02-02 07:56:11+00","RF facial treatment with 2 sessions and 15% discount"
"20","15","5","CELL RENEWAL TREATMENT PACKAGE","ENABLED","864.00","864.00","2025-03-15 06:20:30+00","2025-03-15 06:20:30+00","Cell renewal treatment with 2 sessions and 10% discount"
"21","19","14","HYDRO DEWY SKIN BOOSTER PACKAGE","ENABLED","580.00","580.00","2025-03-20 08:45:22+00","2025-03-20 08:45:22+00","Premium hydro dewy skin booster single session"
"22","29","5","PDRN BABY SKIN BOOSTER PACKAGE","ENABLED","680.00","680.00","2025-04-05 03:30:15+00","2025-04-05 03:30:15+00","PDRN baby skin booster single session"
"23","28","14","B-TOX RENEWAL TREATMENT PACKAGE","ENABLED","680.00","680.00","2025-04-10 05:25:40+00","2025-04-10 05:25:40+00","B-Tox renewal treatment single session"
"24","4","5","MACARON REJUVENATING TREATMENT PACKAGE","ENABLED","680.00","680.00","2025-04-15 07:10:18+00","2025-04-15 07:10:18+00","Macaron rejuvenating treatment single session"
"25","9","14","COLLAGEN REJUVENATING TREATMENT PACKAGE","ENABLED","780.00","780.00","2025-04-20 09:35:55+00","2025-04-20 09:35:55+00","Collagen rejuvenating treatment single session"
